handSide,targetGrip,targetTrigger,joint,positionX,positionY,positionZ,rotationX,rotationY,rotationZ,rotationW,radius
LEFT,0.00,0.20,MIDDLE_INTERMEDIATE_EXT,-0.01708820,-0.04412556,0.05061305,-0.45330217,-0.38685197,0.61503530,0.51633143,0.00799000
LEFT,0.00,0.20,MIDDLE_DISTAL_EXT,0.01474998,-0.04386789,0.04097492,-0.53326422,-0.45575494,0.54765683,0.45606336,0.00795000
LEFT,0.00,0.20,MIDDLE_TIP_EXT,0.03373843,-0.04362500,0.04067409,-0.55112237,-0.43399060,0.56551564,0.43372107,0.00690000
LEFT,0.00,0.20,RING_METACARPAL_EXT,-0.04293248,-0.04805660,0.15203698,0.05152993,-0.08573467,-0.63762748,-0.76382560,0.01910000
LEFT,0.00,0.20,RING_PROXIMAL_EXT,-0.04723325,-0.06045002,0.08745202,-0.24986304,-0.00507849,0.69620997,0.67293203,0.01050000
LEFT,0.00,0.20,RING_INTERMEDIATE_EXT,-0.03282699,-0.07381922,0.05191496,-0.40051630,-0.16838695,0.67655218,0.59456897,0.00840000
LEFT,0.00,0.20,RING_DISTAL_EXT,-0.01151818,-0.08095181,0.03404313,-0.50440496,-0.27412540,0.63362521,0.51860541,0.00740000
LEFT,0.00,0.20,RING_TIP_EXT,0.00319390,-0.08375216,0.02861312,-0.50440496,-0.27412540,0.63362521,0.51860541,0.00650000
LEFT,0.00,0.20,LITTLE_METACARPAL_EXT,-0.04200416,-0.06069040,0.15448245,0.10867718,-0.13274933,-0.70975947,-0.68323612,0.01850000
LEFT,0.00,0.20,LITTLE_PROXIMAL_EXT,-0.04371172,-0.08189893,0.09524405,-0.25421774,0.11676367,0.75636327,0.59131712,0.00900000
LEFT,0.00,0.20,LITTLE_INTERMEDIATE_EXT,-0.03627511,-0.09629935,0.06979454,-0.37372285,-0.04357681,0.76348841,0.52489990,0.00750000
LEFT,0.00,0.20,LITTLE_DISTAL_EXT,-0.02506468,-0.10222447,0.05675721,-0.38650951,0.02159196,0.74433166,0.54416549,0.00670000
LEFT,0.00,0.20,LITTLE_TIP_EXT,-0.01870812,-0.10743970,0.04869130,-0.38650951,0.02159196,0.74433166,0.54416549,0.00650000
LEFT,0.00,0.50,PALM_EXT,-0.04568121,-0.03722984,0.11532168,0.01241607,-0.05148885,-0.62661779,-0.77752674,0.01190000
LEFT,0.00,0.50,WRIST_EXT,-0.04103770,-0.04022300,0.16783795,0.09653403,-0.16156666,0.63231009,0.75151110,0.01190000
LEFT,0.00,0.50,THUMB_METACARPAL_EXT,-0.01938922,-0.01771730,0.14884031,0.18256189,-0.30768552,0.03126001,0.93328822,0.01210000
LEFT,0.00,0.50,THUMB_PROXIMAL_EXT,0.00335541,-0.00317115,0.11877814,0.13874418,0.22837794,0.04143806,-0.96274620,0.01170000
LEFT,0.00,0.50,THUMB_DISTAL_EXT,0.01728036,-0.01247346,0.09090510,0.54302591,0.19076394,0.18896599,-0.79563034,0.01050000
LEFT,0.00,0.50,THUMB_TIP_EXT,0.01933186,-0.03200603,0.08386418,-0.54302591,-0.19076394,-0.18896599,0.79563034,0.00960000
LEFT,0.00,0.50,INDEX_METACARPAL_EXT,-0.03949474,-0.01896656,0.15255077,-0.05240293,-0.00727689,-0.76328015,-0.64390045,0.02100000
LEFT,0.00,0.50,INDEX_PROXIMAL_EXT,-0.04614123,-0.01477373,0.07859385,0.44241524,0.37373114,-0.60893768,-0.54202563,0.01060000
LEFT,0.00,0.50,INDEX_INTERMEDIATE_EXT,-0.00517590,-0.01583457,0.06430769,-0.68627942,-0.69606805,0.18553996,0.10044211,0.00950000
LEFT,0.00,0.50,INDEX_DISTAL_EXT,0.00600712,-0.01242048,0.09013179,-0.62342775,-0.67798167,-0.24510065,-0.30266899,0.00860000
LEFT,0.00,0.50,INDEX_TIP_EXT,-0.00481997,-0.01173943,0.10066593,-0.62342775,-0.67798167,-0.24510065,-0.30266899,0.00770000
LEFT,0.00,0.50,MIDDLE_METACARPAL_EXT,-0.04339236,-0.03425521,0.15060474,0.01241607,-0.05148885,-0.62661779,-0.77752674,0.02140000
LEFT,0.00,0.50,MIDDLE_PROXIMAL_EXT,-0.04797005,-0.04020452,0.08003864,0.36458787,0.25797915,-0.67417741,-0.58822620,0.01130000
LEFT,0.00,0.50,MIDDLE_INTERMEDIATE_EXT,-0.01369483,-0.04369944,0.05412841,-0.49288991,-0.43347743,0.58065414,0.48166442,0.00799000
LEFT,0.00,0.50,MIDDLE_DISTAL_EXT,0.01923773,-0.04274857,0.04952717,-0.57683933,-0.51130223,0.49349847,0.40285110,0.00795000
LEFT,0.00,0.50,MIDDLE_TIP_EXT,0.03787480,-0.04199094,0.05310425,-0.59689116,-0.48774466,0.50926572,0.38272476,0.00690000
LEFT,0.00,0.50,RING_METACARPAL_EXT,-0.04305146,-0.04804552,0.15202366,0.05288883,-0.08437676,-0.63752234,-0.76397127,0.01910000
LEFT,0.00,0.50,RING_PROXIMAL_EXT,-0.04710366,-0.06046152,0.08742699,-0.26407528,-0.02233382,0.69454378,0.66886246,0.01050000
LEFT,0.00,0.50,RING_INTERMEDIATE_EXT,-0.03099858,-0.07354355,0.05253199,-0.42886329,-0.20260358,0.66566151,0.57612967,0.00840000
LEFT,0.00,0.50,RING_DISTAL_EXT,-0.00790700,-0.07998616,0.03674182,-0.53701466,-0.31633431,0.61157441,0.48736721,0.00740000
LEFT,0.00,0.50,RING_TIP_EXT,0.00746867,-0.08216101,0.03318784,-0.53701466,-0.31633431,0.61157441,0.48736721,0.00650000
LEFT,0.00,0.50,LITTLE_METACARPAL_EXT,-0.04207318,-0.06068391,0.15447471,0.11003882,-0.13150658,-0.70977098,-0.68324739,0.01850000
LEFT,0.00,0.50,LITTLE_PROXIMAL_EXT,-0.04355219,-0.08189881,0.09523243,-0.26071081,0.10638276,0.75575787,0.59122443,0.00900000
